taskid,MIDSAT+LOW-Dtime,MIDSAT+LOW-Etime,SAT+HIGH-Dtime,SAT+HIGH-Etime,UNSAT+HIGH-Dtime,UNSAT+HIGH-Etime,MIDSAT+HIGH-Dtime,MIDSAT+HIGH-Etime,UNSAT+LOW-Dtime,UNSAT+LOW-Etime,SAT+LOW-Dtime,SAT+LOW-Etime
11,130234.0,167600.0,165702.2,144400.0,177354.4,179000.0,100563.6,134000.0,166138.8,143400.0,186743.8,231600.0
10,292614.6,295600.0,211038.0,199400.0,221611.6,283800.0,310082.6,287800.0,458015.4,455800.0,261452.4,274400.0
13,146581.6,134400.0,102668.4,145000.0,217906.8,238000.0,166543.4,180400.0,140696.6,144400.0,115343.0,169400.0
12,130332.8,137200.0,90929.2,133200.0,206574.6,234800.0,153703.8,156200.0,192130.6,162200.0,116285.8,135800.0
15,262739.0,263200.0,172884.2,239800.0,189154.0,241000.0,243313.4,220800.0,224927.0,162600.0,191195.2,234400.0
14,111192.6,100600.0,132320.0,139000.0,149082.8,153400.0,167645.0,205200.0,108065.6,130000.0,157968.8,217000.0
17,277705.6,249000.0,212654.0,165000.0,313064.4,359200.0,259344.8,221000.0,252750.2,179200.0,179440.0,175400.0
16,98729.6,122800.0,124050.4,165800.0,145041.2,144800.0,179215.6,204400.0,111481.8,133000.0,101180.6,87200.0
19,344752.4,333600.0,342459.6,378800.0,185990.4,269000.0,269636.8,320600.0,477557.6,486200.0,274421.0,220000.0
18,186183.4,170000.0,195844.0,241000.0,215455.8,204800.0,223945.6,235400.0,173496.0,129600.0,202825.0,234800.0
20,150314.4,179800.0,141945.2,176000.0,195315.8,205600.0,315785.8,297000.0,280273.8,188000.0,180755.0,220400.0
1,214700.2,286000.0,199921.4,236000.0,257286.2,287600.0,214083.6,257600.0,320461.6,244400.0,249252.4,217000.0
3,93470.2,70400.0,63360.6,58000.0,102099.8,142400.0,45715.4,74000.0,102671.2,95400.0,67602.4,50200.0
2,290956.8,368400.0,140006.8,135000.0,170409.4,164400.0,176258.4,211400.0,223372.8,181200.0,200704.8,157800.0
5,167458.8,200800.0,168410.8,209200.0,198201.4,242600.0,185852.8,180400.0,200532.2,240400.0,180338.6,165600.0
4,174300.2,134000.0,128239.8,111200.0,192624.8,268600.0,200040.8,203000.0,162734.4,167400.0,159735.2,187600.0
7,169986.4,151800.0,178960.8,204000.0,181956.4,231800.0,208530.2,191600.0,248149.0,315600.0,155782.2,109000.0
6,189974.4,171800.0,125187.8,135200.0,159822.6,176200.0,185949.8,236200.0,152789.8,186600.0,132907.8,107400.0
9,257966.8,260000.0,177017.8,246800.0,194520.6,226600.0,221203.8,207800.0,240705.2,239600.0,295932.8,294000.0
8,181884.4,152200.0,226601.0,217800.0,152256.8,162600.0,165187.2,190200.0,130223.4,191400.0,255713.6,224000.0
