taskid,SAT-Dtime,SAT-Etime,MIDSAT-Dtime,MIDSAT-Etime,UNSAT-Dtime,UNSAT-Etime
11,176223.0,188000.0,115398.8,150800.0,171746.6,161200.0
10,236245.2,236900.0,301348.6,291700.0,339813.5,369800.0
13,109005.7,157200.0,156562.5,157400.0,179301.7,191200.0
12,103607.5,134500.0,142018.3,146700.0,199352.6,198500.0
15,182039.7,237100.0,253026.2,242000.0,207040.5,201800.0
14,145144.4,178000.0,139418.8,152900.0,128574.2,141700.0
17,196047.0,170200.0,268525.2,235000.0,282907.3,269200.0
16,112615.5,126500.0,138972.6,163600.0,128261.5,138900.0
19,308440.3,299400.0,307194.6,327100.0,331774.0,377600.0
18,199334.5,237900.0,205064.5,202700.0,194475.9,167200.0
20,161350.1,198200.0,233050.1,238400.0,237794.8,196800.0
1,224586.9,226500.0,214391.9,271800.0,288873.9,266000.0
3,65481.5,54100.0,69592.8,72200.0,102385.5,118900.0
2,170355.8,146400.0,233607.6,289900.0,196891.1,172800.0
5,174374.7,187400.0,176655.8,190600.0,199366.8,241500.0
4,143987.5,149400.0,187170.5,168500.0,177679.6,218000.0
7,167371.5,156500.0,189258.3,171700.0,215052.7,273700.0
6,129047.8,121300.0,187962.1,204000.0,156306.2,181400.0
9,236475.3,270400.0,239585.3,233900.0,217612.9,233100.0
8,241157.3,220900.0,173535.8,171200.0,141240.1,177000.0
