taskid,SAT,MIDSAT,UNSAT
11,176223.0,115398.8,171746.6
10,236245.2,301348.6,339813.5
13,109005.7,156562.5,179301.7
12,103607.5,142018.3,199352.6
15,182039.7,253026.2,207040.5
14,145144.4,139418.8,128574.2
17,196047.0,268525.2,282907.3
16,112615.5,138972.6,128261.5
19,308440.3,307194.6,331774.0
18,199334.5,205064.5,194475.9
20,161350.1,233050.1,237794.8
1,224586.9,214391.9,288873.9
3,65481.5,69592.8,102385.5
2,170355.8,233607.6,196891.1
5,174374.7,176655.8,199366.8
4,143987.5,187170.5,177679.6
7,167371.5,189258.3,215052.7
6,129047.8,187962.1,156306.2
9,236475.3,239585.3,217612.9
8,241157.3,173535.8,141240.1
