taskid,HIGH,LOW
11,2.93333333333,3.53333333333
10,5.53333333333,4.93333333333
13,4.06666666667,3.73333333333
12,4.0,3.06666666667
15,4.73333333333,5.86666666667
14,4.2,3.86666666667
17,4.66666666667,4.06666666667
16,4.53333333333,3.46666666667
19,5.86666666667,8.86666666667
18,4.2,4.33333333333
20,6.0,5.6
1,5.86666666667,6.46666666667
3,2.6,3.53333333333
2,2.8,5.53333333333
5,4.46666666667,3.53333333333
4,4.42857142857,4.2
7,3.8,3.86666666667
6,4.26666666667,4.46666666667
9,5.33333333333,7.13333333333
8,4.33333333333,4.8
