user,config,Estimate Time > Actual Time, Actual Time > Estimate Time
2014011311,46,11,1
2014011440,39,6,6
2014012276,23,5,7
2012012878,31,9,3
2013012297,8,1,11
2014012056,7,0,12
2014011363,44,6,6
2014010924,15,7,5
2014011335,38,0,12
2013013014,5,7,5
2013012250,25,10,2
2012011721,16,3,9
2014011373,34,12,0
2014011452,43,5,7
2014011453,37,9,3
2013012698,42,11,1
2012012187,14,12,0
2015040003,29,0,12
2011012865,30,7,5
2012011289,17,9,3
2011012703,22,1,11
2012012180,3,10,2
2014011291,20,12,0
2015040008,1,10,2
2014011293,33,9,3
2014011438,28,3,9
2012013335,27,0,12
2014011403,45,11,1
2014011397,4,11,1
2014012315,32,1,11
2014011358,36,12,0
2014010646,26,1,11
2011010347,2,11,1
2014011399,24,12,0
2011011387,49,2,10
2013012282,18,11,1
2013012976,35,12,0
2012011529,50,7,5
2013010521,40,10,2
2014011327,6,1,11
2012011281,41,1,11
2014011421,19,11,1
2013011416,10,9,3
2014011426,9,5,7
2014012086,11,9,3
2014012079,48,2,10
2014011366,12,10,2
2013011665,47,0,12
2013011333,21,9,3
2014011369,13,11,1
