user id,config,total num of etime > dtime,total num of dtime > etime,sat num of etime > dtime,sat num of dtime > etime,midsat num of etime > dtime,midsat num of dtime > etime,unsat num of etime > dtime,unsat num of dtime > etime
2014011311,46,11,1,4,0,4,0,3,1
2014011440,39,6,6,3,1,2,2,1,3
2014012276,23,5,7,3,1,1,3,1,3
2012012878,31,9,3,3,1,3,1,3,1
2013012297,8,1,11,1,3,0,4,0,4
2014012056,7,0,12,0,4,0,4,0,4
2014011363,44,6,6,2,2,2,2,2,2
2014010924,15,7,5,1,3,2,2,4,0
2014011335,38,0,12,0,4,0,4,0,4
2013013014,5,7,5,2,2,2,2,3,1
2013012250,25,10,2,4,0,4,0,2,2
2012011721,16,3,9,2,2,0,4,1,3
2014011373,34,12,0,4,0,4,0,4,0
2014011452,43,5,7,1,3,1,3,3,1
2014011453,37,9,3,2,2,3,1,4,0
2013012698,42,11,1,4,0,4,0,3,1
2012012187,14,12,0,4,0,4,0,4,0
2015040003,29,0,12,0,4,0,4,0,4
2011012865,30,7,5,2,2,2,2,3,1
2012011289,17,9,3,2,2,4,0,3,1
2011012703,22,1,11,0,4,0,4,1,3
2012012180,3,10,2,3,1,4,0,3,1
2014011291,20,12,0,4,0,4,0,4,0
2015040008,1,10,2,2,2,4,0,4,0
2014011293,33,9,3,3,1,3,1,3,1
2014011438,28,3,9,1,3,0,4,2,2
2012013335,27,0,12,0,4,0,4,0,4
2014011403,45,11,1,4,0,4,0,3,1
2014011397,4,11,1,4,0,3,1,4,0
2014012315,32,1,11,0,4,1,3,0,4
2014011358,36,12,0,4,0,4,0,4,0
2014010646,26,1,11,1,3,0,4,0,4
2011010347,2,11,1,4,0,3,1,4,0
2014011399,24,12,0,4,0,4,0,4,0
2011011387,49,2,10,2,2,0,4,0,4
2013012282,18,11,1,3,1,4,0,4,0
2013012976,35,12,0,4,0,4,0,4,0
2012011529,50,7,5,2,2,3,1,2,2
2013010521,40,10,2,4,0,3,1,3,1
2014011327,6,1,11,1,3,0,4,0,4
2012011281,41,1,11,1,3,0,4,0,4
2014011421,19,11,1,4,0,3,1,4,0
2013011416,10,9,3,3,1,4,0,2,2
2014011426,9,5,7,1,3,3,1,1,3
2014012086,11,9,3,4,0,2,2,3,1
2014012079,48,2,10,1,3,1,3,0,4
2014011366,12,10,2,3,1,4,0,3,1
2013011665,47,0,12,0,4,0,4,0,4
2013011333,21,9,3,2,2,4,0,3,1
2014011369,13,11,1,3,1,4,0,4,0
